Institution Name_x,State Abbreviation,MSI Status,MSI Type,Average Work Study Award,Student Family Earnings Ceiling,Affordability Gap (net price minus income earned working 10 hrs at min wage),100% TTD Affordability Gap,Student Parent Affordability Gap: Center-Based Care,100% TTD Student Parent Affordability Gap: Center-Based Care,State,Latitude,Longitude,Admissions Website,Percent of Undergraduates Age 25 to 64,Percent of American Indian or Alaska Native Undergraduates,Percent of Asian Undergraduates,Percent of Black or African American Undergraduates,Percent of Latino Undergraduates,Percent of Native Hawaiian or Other Pacific Islander Undergraduates,Percent of White Undergraduates,Percent of Women Undergraduates,Percent of Men Undergraduates,"Percent of Bachelor Degrees Awarded in Science, Technology, Engineering, and Math",Percent of Bachelor Degrees Awarded in Arts and Humanities,Percent of Bachelor Degrees Awarded in Education,Percent of Bachelor Degrees Awarded in Social Sciences,Percent of Bachelor Degrees Awarded in Health Sciences,Percent of Bachelor Degrees Awarded in Business,Average Cost of Attendance In-State,Average Cost of Attendance Out-of-State,"Average Net Price for Low-Income Students, 2020-21",Median Debt for Dependent Students,Median Debt for Independent Students,Median Earnings of Dependent Students Working and Not Enrolled 10 Years After Entry,Median Earnings of Independent Students Working and Not Enrolled 10 Years After Entry,Median Earnings of Students Working and Not Enrolled 10 Years After Entry
Colorado State University-Fort Collins,CO,1.0,Not MSI,2781.0,48000.0,5494.0,21976.0,24316.78,97267.12,Colorado,40.57,-105.08,admissions.colostate.edu/,10.0,1.0,3.0,2.0,15.0,0.0,71.0,54.0,46.0,0.138017,0.017517,0.00539,0.087007,0.001732,0.139365,23616.66667,42898.66667,11713.0,14750.0,16999.0,55143.0,53267.0,47921.5
Madonna University,MI,1.0,Not MSI,2082.0,48000.0,8154.0,32616.0,23612.8,94451.2,Michigan,42.38,-83.4,https://www.madonna.edu/admissions,26.0,0.0,3.0,9.0,5.0,0.0,65.0,64.0,36.0,0.034226,0.026786,0.019345,0.004464,0.441964,0.174107,37493.33333,37493.33333,14831.0,15000.0,22501.0,49813.0,50743.0,47921.5
University of Bridgeport,CT,0.0,HSI,2126.0,48000.0,17072.0,68288.0,40247.26,160989.04,Connecticut,41.16,-73.19,www.bridgeport.edu/admissions,31.0,0.0,5.0,34.0,29.0,0.0,24.0,71.0,29.0,0.059593,0.094477,0.0,0.020349,0.382267,0.103198,54354.0,54354.0,22983.0,15750.0,22000.0,45629.0,56841.0,47921.5
University of Connecticut,CT,0.0,AANAPII,2126.0,48000.0,8156.0,32624.0,31331.26,125325.04,Connecticut,41.81,-72.25,admissions.uconn.edu/,2.0,0.0,13.0,7.0,14.0,0.0,52.0,52.0,48.0,0.133736,0.017251,0.025609,0.120576,0.121288,0.124844,31752.66667,54420.66667,13586.0,19000.0,19791.0,72439.0,73148.0,47921.5
Central Connecticut State University,CT,1.0,Not MSI,2126.0,48000.0,6317.0,25268.0,29492.26,117969.04,Connecticut,41.69,-72.77,www2.ccsu.edu/admission/,18.0,0.0,5.0,13.0,17.0,0.0,57.0,46.0,54.0,0.072361,0.0,0.065832,0.120783,0.038085,0.267682,23754.0,37158.0,10095.0,15736.0,18750.0,53203.0,48770.0,47921.5
Salem State University,MA,1.0,Not MSI,2015.0,48000.0,7997.0,31988.0,32880.13,131520.52,Massachusetts,42.5,-70.89,www.salemstate.edu/admissions/,17.0,0.0,4.0,9.0,21.0,0.0,57.0,65.0,35.0,0.069196,0.005208,0.079613,0.043899,0.165923,0.223958,25335.0,32140.0,12399.0,17750.0,24642.0,50320.0,40320.0,47921.5
Smith College,MA,1.0,Not MSI,2015.0,48000.0,2632.0,10528.0,27515.13,110060.52,Massachusetts,42.32,-72.64,www.smith.edu/admission/,3.0,0.0,10.0,6.0,13.0,0.0,50.0,100.0,0.0,0.130148,0.0,0.019769,0.187809,0.0,0.0,71366.66667,71366.66667,11678.0,15500.0,16472.0,56604.0,51159.0,47921.5
University of Massachusetts-Dartmouth,MA,1.0,Not MSI,2015.0,48000.0,9411.0,37644.0,34294.13,137176.52,Massachusetts,41.63,-71.0,www.umassd.edu/admissions/,16.0,0.0,3.0,16.0,11.0,0.0,57.0,52.0,48.0,0.123941,0.013087,0.003849,0.101617,0.151655,0.274827,26671.66667,42416.66667,16996.0,17500.0,17500.0,60978.0,40750.0,47921.5
Springfield College,MA,1.0,Not MSI,2015.0,48000.0,18342.0,73368.0,43225.13,172900.52,Massachusetts,42.1,-72.56,www.springfield.edu/admissions,1.0,0.0,2.0,5.0,9.0,0.0,75.0,51.0,49.0,0.055877,0.034682,0.036609,0.009634,0.352601,0.094412,52910.0,52910.0,18884.0,24000.0,19591.0,60230.0,39657.0,47921.5
University of Hartford,CT,1.0,Not MSI,2126.0,48000.0,18064.0,72256.0,41239.26,164957.04,Connecticut,41.8,-72.72,www.hartford.edu/admission/default.aspx,5.0,0.0,5.0,17.0,13.0,0.0,51.0,55.0,45.0,0.122075,0.035605,0.047813,0.034588,0.140387,0.145473,57675.66667,57675.66667,25636.0,19500.0,20250.0,57694.0,59194.0,47921.5
